award_name,winner_name
best screenplay - motion picture,Quentin Tarantino
best director - motion picture,ARGO
best performance by an actress in a television series - comedy or musical,Claire Danes
best foreign language film,Amour
best performance by an actor in a supporting role in a motion picture,Daniel Day Lewis
"best performance by an actress in a supporting role in a series, mini-series or motion picture made for television",Claire Danes
best motion picture - comedy or musical,GoldenGlobes Les Miserables
best performance by an actress in a motion picture - comedy or musical,Lena Dunham
best mini-series or motion picture made for television,.@_JulianneMoore
best original score - motion picture,# Argo
best performance by an actress in a television series - drama,Claire Danes
best performance by an actress in a motion picture - drama,Daniel Day Lewis
cecil b. demille award,Jodie Foster
best performance by an actor in a motion picture - comedy or musical,Daniel Day Lewis
best motion picture - drama,Argo
"best performance by an actor in a supporting role in a series, mini-series or motion picture made for television",Claire Danes
best performance by an actress in a supporting role in a motion picture,Anne Hathaway
best television series - drama,Girls
best performance by an actor in a mini-series or motion picture made for television,Daniel Day Lewis
best performance by an actress in a mini-series or motion picture made for television,Claire Danes
best animated feature film,Brave
best original song - motion picture,Skyfall
best performance by an actor in a motion picture - drama,Daniel Day Lewis
best television series - comedy or musical,Girls
best performance by an actor in a television series - drama,Claire Danes
best performance by an actor in a television series - comedy or musical,Claire Danes
