,text
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,Dustin Hoffman | best personality on the red carpet tonight | winner
19,
20,
21,
22,
23,
24,
25,he | best | winner
26,Bill Murray | the beard | winner
27,
28,
29,
30,GoldenGlobes | Django Unchained wins an | nominee
31,
32,
33,
34,
35,
36,linings | best movie | winner
37,
38,Tina Fey | best dressed | winner
39,
40,Bill Murray | best facial hair of the night | winner
41,
42,
43,
44,
45,Christoph Waltz | Best Supporting Actor in a Motion Picture for his role in Django Unchained | winner
46,Christoph Waltz | Best Supporting Actor in a Motion Picture for his role in Django Unchained | winner
47,Christoph Waltz | Best Supporting Actor in a Motion Picture for his role in Django Unchained | winner
48,
49,Christoph Waltz | Best Supporting Actor in | winner
50,Christoph Waltz | best supporting actor for Django Unchained | winner
51,
52,
53,Christoph Waltz | Best Supporting Actor in | winner
54,Christoph Waltz | Best Supporting Actor in | winner
55,Christoph Waltz | Best Supporting Actor | winner
56,# GoldenGlobes | best supporting actors | winner
57,Christoph Waltz | best supporting actor | winner
58,Christoph Waltz | Best Supporting Actor in | winner
59,Christoph Waltz | Best Supporting Actor in | winner
60,Christoph Waltz | best supporting | winner
61,Christoph Waltz | Best Supporting Actor for Django Unchained | winner
62,Christoph Waltz | Best Supporting Actor in a Motion Picture for his role in Django Unchained | winner
63,Christoph Waltz | Best Supporting Actor in a Motion Picture for his role in Django Unchained | winner
64,
65,Christoph Waltz | Best Supporting Actor in a Motion Picture for his role in Django Unchained | winner
66,Christoph Waltz | Best Supporting Actor in | winner
67,Christoph Waltz | Best Supporting Actor in | winner
68,Christoph Waltz | Best Supporting Actor in | winner
69,Christoph Waltz | best supporting actor for Django Unchained | winner
70,Christoph Waltz | Best Supporting Actor in a Motion Picture for his role in Django Unchained | winner
71,Django | it 's first | winner
72,Christoph Waltz | Best Supporting Actor for Django Unchained | winner
73,
74,Christoph Waltz | Best Supporting Actor for Django Unchained | winner
75,
76,Christoph Waltz | the first | winner
77,
78,
79,
80,
81,Christoph Waltz | Best Supporting Actor in | winner
82,Christoph Waltz | Best Supporting Actor | nominee
83,
84,Christoph Waltz | Best Supporting Actor | winner
85,Christoph Waltz | best supporting actor for | winner
86,
87,The actor | best actor alive | winner
88,christoph Waltz | best suppporting actor | winner
89,
90,Christoph Waltz | Best Supporting Actor for his role in Django Unchained | winner
91,Christoph Waltz | Best Supporting Actor for Django Unchained | winner
92,
93,Christoph Waltz | Best Supporting Actor in a Motion Picture for his role in Django Unchained | winner
94,Christoph Waltz | Best Supporting Actor in | winner
95,Christoph Waltz | Best Supporting Actor in | winner
96,Christoph Waltz | Best Supporting Actor in | winner
97,Christopher Waltz | best supporting actor | winner
98,Christoph Waltz | an | winner
99,Christoph Waltz | best supporting actor for | winner
100,
